UID,Source_Name,Name_in_2018_paper_db,ra,dec,bestLum,Lum_2020,lum_from_2018_paper,Dist_from_2018_paper,Vsys_in_km_per_s,objClass_sym,objClass_int
1,NGC_23,NGC23,2.473333,25.92306,180,180,180,65.2,4565,?,0
2,NGC_17,NGC17,2.777083,-12.10722,9,<10,9,84.7,5931,?,0
3,J0011-0054,2MASXJ00114518-0054303,2.938333,-0.9086111,527,527,527,205.5,14384,?,0
4,J0027+4544,2MASXJ00272528+4544279,6.855417,45.74083,507,507,507,171.5,12003,?,0
5,IC10,IC10,5.074584,59.30861,0.02,0.02,0.02,0.7,-350,SF,1
6,M31,null,10.68333,41.26917,0,?,0,0,-300,SF,1
7,NGC_235A,NGC235A,10.72,-23.54111,41,?,41,95.2,6664,?,0
8,NGC_253,NGC253,11.88792,-25.28833,0.2,0.2,0.2,3.4,241,SF?,1
9,Mrk_348,Mrk348,12.19625,31.95694,400,400,400,64.4,4507,J,2
10,SMC,null,13.1875,-72.82861,0,?,0,0,158,SF,1
11,NGC_291,NGC291,13.37458,-8.767777,74,74,74,81.5,5705,?,0
12,ESO_013-G012,ESO013-G012,16.75917,-80.30778,500,500,500,72.1,5047,?,0
13,J0109-0332,2MASXJ01094510-0332329,17.43792,-3.542444,1138,?,1138,233.8,16369,?,0
14,Mrk_1,Mrk1,19.03,33.08944,50,50,50,68.3,4780,D?,4
15,NGC_520,NGC520,21.14613,3.792417,1,1,1,32.4,2281,SF?,1
16,J0126-0417,2MASXJ01260163-0417564,21.50692,-4.298944,112,112,112,80.4,5639,D?,4
17,M33,M33,23.31875,30.88056,0.3,0.3,0.3,0.8,-180,SF,1
18,NGC_591,NGC591,23.38,35.66833,25,25,25,65,4547,D?,4
19,NGC_613,NGC613,23.57583,-29.41861,20,20,20,21.1,1475,?,0
20,IC_0184,IC184,29.96333,-6.840278,20,?,20,75.5,5287,?,0
21,J0214-0016,2MASXJ02140591-0016371,33.52458,-0.2769444,74,74,74,160.1,11205,?,0
22,Mrk_1029,MRK 1029,34.26487,5.292056,682,682,682,129.7,9076,D?,4
23,NGC_1052,NGC1052,40.27,-8.255834,125,125,125,21,1470,J,2
24,NGC_1068,NGC1068,40.66958,-0.01333333,160,160,160,16.2,1137,D+J,3
25,NGC_1106,NGC1106,42.66879,41.6715,8,8,8,60.1,4337,?,0
26,J0253-0014,2MASXJ02532956-0014052,43.37333,-0.2348889,4,4,4,124.2,8622,?,0
27,Mrk_1066,Mrk1066,44.99417,36.82056,32,32,32,51.5,3605,?,0
28,NGC_1194,NGC1194,45.95462,-1.103722,112,112,112,58.2,4076,D,5
29,NGC_1320,NGC1320,51.20292,-3.042222,43,43,43,38,2663,D?,4
30,J0336-0750,2MASXJ03364614-0750236,54.19233,-7.839889,183,183,183,167.5,11719,?,0
31,NGC_1386,NGC1386,54.19333,-36.00056,125,125,125,12.4,868,D+?,4
32,J0338+0114,null,54.54333,1.238333,0,?,0,0,11926,?,0
33,NGC_1402,null,54.8775,-18.52695,47,47,0,0,4297,?,0
34,IC_342,IC342,56.69292,68.09611,0.01,0.01,0.01,3.3,40,SF,1
35,IRAS_03450+0055,null,56.91708,1.087222,67,67,0,0,9294,?,0
36,J0350-0127,null,57.50146,-1.466028,3870,3870,0,0,12376,D?,4
