UID,Source_Name,ra,dec,bestLum,Vsys_in_km_per_s,Lum_2020,objClass_sym,objClass_int,lum_from_2018_paper,Dist_from_2018_paper,Name_in_2018_paper_db
1,NGC_23,2.473333,25.92306,180,4565,180,?,0,180,65.2,NGC23
2,NGC_17,2.777083,-12.10722,9,5931,<10,?,0,9,84.7,NGC17
3,J0011-0054,2.938333,-0.9086111,527,14384,527,?,0,527,205.5,2MASXJ00114518-0054303
4,J0027+4544,6.855417,45.74083,507,12003,507,?,0,507,171.5,2MASXJ00272528+4544279
5,IC10,5.074584,59.30861,0.02,-350,0.02,SF,1,0.02,0.7,IC10
6,M31,10.68333,41.26917,0,-300,?,SF,1,0,0,null
7,NGC_235A,10.72,-23.54111,41,6664,?,?,0,41,95.2,NGC235A
8,NGC_253,11.88792,-25.28833,0.2,241,0.2,SF?,1,0.2,3.4,NGC253
9,Mrk_348,12.19625,31.95694,400,4507,400,J,2,400,64.4,Mrk348
10,SMC,13.1875,-72.82861,0,158,?,SF,1,0,0,null
11,NGC_291,13.37458,-8.767777,74,5705,74,?,0,74,81.5,NGC291
12,ESO_013-G012,16.75917,-80.30778,500,5047,500,?,0,500,72.1,ESO013-G012
13,J0109-0332,17.43792,-3.542444,1138,16369,?,?,0,1138,233.8,2MASXJ01094510-0332329
14,Mrk_1,19.03,33.08944,50,4780,50,D?,4,50,68.3,Mrk1
15,NGC_520,21.14613,3.792417,1,2281,1,SF?,1,1,32.4,NGC520
16,J0126-0417,21.50692,-4.298944,112,5639,112,D?,4,112,80.4,2MASXJ01260163-0417564
17,M33,23.31875,30.88056,0.3,-180,0.3,SF,1,0.3,0.8,M33
18,NGC_591,23.38,35.66833,25,4547,25,D?,4,25,65,NGC591
19,NGC_613,23.57583,-29.41861,20,1475,20,?,0,20,21.1,NGC613
20,IC_0184,29.96333,-6.840278,20,5287,?,?,0,20,75.5,IC184
21,J0214-0016,33.52458,-0.2769444,74,11205,74,?,0,74,160.1,2MASXJ02140591-0016371
22,Mrk_1029,34.26487,5.292056,682,9076,682,D?,4,15,57.4,Mrk1089
23,NGC_1052,40.27,-8.255834,125,1470,125,J,2,125,21,NGC1052
24,NGC_1068,40.66958,-0.01333333,160,1137,160,D+J,3,160,16.2,NGC1068
25,NGC_1106,42.66879,41.6715,8,4337,8,?,0,8,60.1,NGC1106
26,J0253-0014,43.37333,-0.2348889,4,8622,4,?,0,4,124.2,2MASXJ02532956-0014052
27,Mrk_1066,44.99417,36.82056,32,3605,32,?,0,32,51.5,Mrk1066
28,NGC_1194,45.95462,-1.103722,112,4076,112,D,5,112,58.2,NGC1194
29,NGC_1320,51.20292,-3.042222,43,2663,43,D?,4,43,38,NGC1320
30,J0336-0750,54.19233,-7.839889,183,11719,183,?,0,183,167.5,2MASXJ03364614-0750236
31,NGC_1386,54.19333,-36.00056,125,868,125,D+?,4,125,12.4,NGC1386
32,J0338+0114,54.54333,1.238333,0,11926,?,?,0,0,0,null
33,NGC_1402,54.8775,-18.52695,125,4297,47,?,0,125,21,NGC1052
34,IC_342,56.69292,68.09611,0.01,40,0.01,SF,1,0.01,3.3,IC342
35,IRAS_03450+0055,56.91708,1.087222,227,9294,67,?,0,227,170.4,IRAS03355+0104
